,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
73,0.01758810753212621,0.1835744727645984,0.20116258029672462,"Malaga, Spain",Mauritius,0_10_40,7.855593221716209e-05,0.0025041413042579306,0.18099177552812332,40
1312,0.017666663464343372,0.4487293072999539,0.4663959707642973,"Malaga, Spain",Mauritius,0_10_41,0.0009156624643857497,0.006018211968453,0.44179543286711465,41
1263,0.018529361866421862,0.4408884623228669,0.4594178241892887,"Malaga, Spain",Mauritius,0_10_42,0.0001374450021301675,0.0059006160055659375,0.4348504013151706,42
500,0.018624032124440797,0.3054451736488432,0.324069205773284,"Malaga, Spain",Mauritius,0_10_43,0.0003679919616598609,0.004086184265094736,0.3009909974220886,43
54,0.018847866028381975,0.1732900608070425,0.1921379268354245,"Malaga, Spain",Mauritius,0_10_44,0.0007278033258761966,0.0023394947307648285,0.1702227627504015,44
82,0.019575669354258172,0.18755830158667064,0.2071339709409288,"Malaga, Spain",Mauritius,0_10_45,0.0006780827788260661,0.002608888449744131,0.18427133035810048,45
81,0.020253752133084238,0.18671244748447105,0.2069661996175553,"Malaga, Spain",Mauritius,0_10_46,0.0005118774740748913,0.0025252606580256735,0.18367530935237059,46
403,0.02076562960715913,0.28517086551006054,0.30593649511721965,"Malaga, Spain",Mauritius,0_10_47,0.0007944133747776229,0.003936568325518818,0.28043988380976403,47
308,0.02149370694812602,0.26264220165954305,0.2841359086076691,"Malaga, Spain",Mauritius,0_10_48,0.00030226167816215996,0.0035409377707078986,0.2587990022106731,48
1301,0.02165849120098825,0.4437493586642812,0.46540784986526945,"Malaga, Spain",Mauritius,0_10_49,0.0012976996448094205,0.005919682987343113,0.43653197603212834,49
77,0.02284340041505757,0.18115644516672616,0.20399984558178375,"Malaga, Spain",Mauritius,0_10_50,0.0006122238633918427,0.0023887602582628818,0.17815546104507154,50
232,0.023413776987464455,0.2410509956390784,0.26446477262654283,"Malaga, Spain",Mauritius,0_10_51,0.0006094484465508157,0.003240435234537655,0.23720111195799004,51
1114,0.02392291080261654,0.4052537741259738,0.42917668492859035,"Malaga, Spain",Mauritius,0_10_52,0.0001312387648620926,0.00551268938140665,0.39960984597970495,52
29,0.023986748201886277,0.13939936288054083,0.16338611108242712,"Malaga, Spain",Mauritius,0_10_53,0.001563751051447581,0.0019253110633138883,0.13591030076577937,53
466,0.025550499253333858,0.2921839088951858,0.31773440814851966,"Malaga, Spain",Mauritius,0_10_54,0.0004465472000156172,0.003984396182793225,0.287752965512377,54
12,0.025997046453349475,0.11127291404421329,0.13726996049756277,"Malaga, Spain",Mauritius,0_10_55,9.801452520811008e-05,0.001452335746732282,0.10972256377227294,55
928,0.025998552005746103,0.369649654199297,0.3956482062050431,"Malaga, Spain",Mauritius,0_10_56,0.0005819151188476354,0.005001584023749496,0.36406615505669987,56
115,0.026501422734307407,0.19661250835824903,0.22311393109255645,"Malaga, Spain",Mauritius,0_10_57,0.00031815584096437505,0.0026559958015706575,0.19363835671571403,57
221,0.026708564504460183,0.23489005901281207,0.26159862351727226,"Malaga, Spain",Mauritius,0_10_58,0.00039218979226341225,0.003246326291859268,0.23125154292868952,58
161,0.027100754296723595,0.21723266326867863,0.24433341756540222,"Malaga, Spain",Mauritius,0_10_59,0.0003049469339055713,0.0029292853478660058,0.21399843098690716,59
51,0.027332276358728487,0.1633508272569958,0.19068310361572427,"Malaga, Spain",Mauritius,0_10_60,0.0012527529194816256,0.002215331697363399,0.15988274264015087,60
15,0.028585029278210113,0.11367885290607892,0.14226388218428904,"Malaga, Spain",Mauritius,0_10_61,2.196291893293359e-05,0.0015632624762425464,0.11209362751090352,61
398,0.028593382220181717,0.27584018440418406,0.30443356662436577,"Malaga, Spain",Mauritius,0_10_62,0.0013886461075174987,0.003796728673082224,0.27065480962358446,62
60,0.029982028327699216,0.16590738728103702,0.19588941560873624,"Malaga, Spain",Mauritius,0_10_63,9.907286742058888e-05,0.0022793315418801435,0.16352898287173637,63
387,0.030081101195119805,0.2715897608324283,0.3016708620275481,"Malaga, Spain",Mauritius,0_10_64,0.00041986828880890767,0.003689367323934118,0.2674805252196854,64
83,0.030158356142354424,0.17717725953839347,0.2073356156807479,"Malaga, Spain",Mauritius,0_10_65,0.0014759712897239041,0.002397485878614991,0.1733038023700547,65
169,0.031570985819122314,0.21583775326066187,0.2474087390797842,"Malaga, Spain",Mauritius,0_10_66,0.0006250786914984846,0.002840179252167453,0.21237249531699592,66
3,0.0321960645106208,0.06548064323319107,0.09767670774381187,"Malaga, Spain",Mauritius,0_10_67,3.5762492399595e-05,0.0009081352990833731,0.06453674544170807,67
